name	symbol	marketcap	price	change	high52	low52	volume	volumeavg	Start of Year
5N Plus Inc.	VNP	"=GoogleFinance(""TSE:VNP"",""marketcap"")"	"=GoogleFinance(""TSE:VNP"",""price"")"	"=GoogleFinance(""TSE:VNP"",""change"")"	"=GoogleFinance(""TSE:VNP"",""high52"")"	"=GoogleFinance(""TSE:VNP"",""low52"")"	"=GoogleFinance(""TSE:VNP"",""volume"")"	"=GoogleFinance(""TSE:VNP"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:VNP"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Aberdeen International Inc.	AAB	"=GoogleFinance(""TSE:AAB"",""marketcap"")"	"=GoogleFinance(""TSE:AAB"",""price"")"	"=GoogleFinance(""TSE:AAB"",""change"")"	"=GoogleFinance(""TSE:AAB"",""high52"")"	"=GoogleFinance(""TSE:AAB"",""low52"")"	"=GoogleFinance(""TSE:AAB"",""volume"")"	"=GoogleFinance(""TSE:AAB"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AAB"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Acadian Timber Corp.	ADN	"=GoogleFinance(""TSE:ADN"",""marketcap"")"	"=GoogleFinance(""TSE:ADN"",""price"")"	"=GoogleFinance(""TSE:ADN"",""change"")"	"=GoogleFinance(""TSE:ADN"",""high52"")"	"=GoogleFinance(""TSE:ADN"",""low52"")"	"=GoogleFinance(""TSE:ADN"",""volume"")"	"=GoogleFinance(""TSE:ADN"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:ADN"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Accord Financial Corp.	ACD	"=GoogleFinance(""TSE:ACD"",""marketcap"")"	"=GoogleFinance(""TSE:ACD"",""price"")"	"=GoogleFinance(""TSE:ACD"",""change"")"	"=GoogleFinance(""TSE:ACD"",""high52"")"	"=GoogleFinance(""TSE:ACD"",""low52"")"	"=GoogleFinance(""TSE:ACD"",""volume"")"	"=GoogleFinance(""TSE:ACD"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:ACD"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
AcuityAds Holdings Inc.	AT	"=GoogleFinance(""TSE:AT"",""marketcap"")"	"=GoogleFinance(""TSE:AT"",""price"")"	"=GoogleFinance(""TSE:AT"",""change"")"	"=GoogleFinance(""TSE:AT"",""high52"")"	"=GoogleFinance(""TSE:AT"",""low52"")"	"=GoogleFinance(""TSE:AT"",""volume"")"	"=GoogleFinance(""TSE:AT"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AT"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
ADF Group Inc.	DRX	"=GoogleFinance(""TSE:DRX"",""marketcap"")"	"=GoogleFinance(""TSE:DRX"",""price"")"	"=GoogleFinance(""TSE:DRX"",""change"")"	"=GoogleFinance(""TSE:DRX"",""high52"")"	"=GoogleFinance(""TSE:DRX"",""low52"")"	"=GoogleFinance(""TSE:DRX"",""volume"")"	"=GoogleFinance(""TSE:DRX"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:DRX"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Advantage Oil & Gas Ltd.	AAV	"=GoogleFinance(""TSE:AAV"",""marketcap"")"	"=GoogleFinance(""TSE:AAV"",""price"")"	"=GoogleFinance(""TSE:AAV"",""change"")"	"=GoogleFinance(""TSE:AAV"",""high52"")"	"=GoogleFinance(""TSE:AAV"",""low52"")"	"=GoogleFinance(""TSE:AAV"",""volume"")"	"=GoogleFinance(""TSE:AAV"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AAV"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Aecon Group Inc.	ARE	"=GoogleFinance(""TSE:ARE"",""marketcap"")"	"=GoogleFinance(""TSE:ARE"",""price"")"	"=GoogleFinance(""TSE:ARE"",""change"")"	"=GoogleFinance(""TSE:ARE"",""high52"")"	"=GoogleFinance(""TSE:ARE"",""low52"")"	"=GoogleFinance(""TSE:ARE"",""volume"")"	"=GoogleFinance(""TSE:ARE"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:ARE"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Aegis Brands Inc.	AEG	"=GoogleFinance(""TSE:AEG"",""marketcap"")"	"=GoogleFinance(""TSE:AEG"",""price"")"	"=GoogleFinance(""TSE:AEG"",""change"")"	"=GoogleFinance(""TSE:AEG"",""high52"")"	"=GoogleFinance(""TSE:AEG"",""low52"")"	"=GoogleFinance(""TSE:AEG"",""volume"")"	"=GoogleFinance(""TSE:AEG"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AEG"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
AEterna Zentaris Inc.	AEZS	"=GoogleFinance(""TSE:AEZS"",""marketcap"")"	"=GoogleFinance(""TSE:AEZS"",""price"")"	"=GoogleFinance(""TSE:AEZS"",""change"")"	"=GoogleFinance(""TSE:AEZS"",""high52"")"	"=GoogleFinance(""TSE:AEZS"",""low52"")"	"=GoogleFinance(""TSE:AEZS"",""volume"")"	"=GoogleFinance(""TSE:AEZS"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AEZS"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Africa Oil Corp.	AOI	"=GoogleFinance(""TSE:AOI"",""marketcap"")"	"=GoogleFinance(""TSE:AOI"",""price"")"	"=GoogleFinance(""TSE:AOI"",""change"")"	"=GoogleFinance(""TSE:AOI"",""high52"")"	"=GoogleFinance(""TSE:AOI"",""low52"")"	"=GoogleFinance(""TSE:AOI"",""volume"")"	"=GoogleFinance(""TSE:AOI"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AOI"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Ag Growth International Inc.	AFN	"=GoogleFinance(""TSE:AFN"",""marketcap"")"	"=GoogleFinance(""TSE:AFN"",""price"")"	"=GoogleFinance(""TSE:AFN"",""change"")"	"=GoogleFinance(""TSE:AFN"",""high52"")"	"=GoogleFinance(""TSE:AFN"",""low52"")"	"=GoogleFinance(""TSE:AFN"",""volume"")"	"=GoogleFinance(""TSE:AFN"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AFN"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
AgJunction Inc.	AJX	"=GoogleFinance(""TSE:AJX"",""marketcap"")"	"=GoogleFinance(""TSE:AJX"",""price"")"	"=GoogleFinance(""TSE:AJX"",""change"")"	"=GoogleFinance(""TSE:AJX"",""high52"")"	"=GoogleFinance(""TSE:AJX"",""low52"")"	"=GoogleFinance(""TSE:AJX"",""volume"")"	"=GoogleFinance(""TSE:AJX"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AJX"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Aimia Inc.	AIM	"=GoogleFinance(""TSE:AIM"",""marketcap"")"	"=GoogleFinance(""TSE:AIM"",""price"")"	"=GoogleFinance(""TSE:AIM"",""change"")"	"=GoogleFinance(""TSE:AIM"",""high52"")"	"=GoogleFinance(""TSE:AIM"",""low52"")"	"=GoogleFinance(""TSE:AIM"",""volume"")"	"=GoogleFinance(""TSE:AIM"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AIM"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
AirBoss of America Corp.	BOS	"=GoogleFinance(""TSE:BOS"",""marketcap"")"	"=GoogleFinance(""TSE:BOS"",""price"")"	"=GoogleFinance(""TSE:BOS"",""change"")"	"=GoogleFinance(""TSE:BOS"",""high52"")"	"=GoogleFinance(""TSE:BOS"",""low52"")"	"=GoogleFinance(""TSE:BOS"",""volume"")"	"=GoogleFinance(""TSE:BOS"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:BOS"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Akumin Inc.	AKU	"=GoogleFinance(""TSE:AKU"",""marketcap"")"	"=GoogleFinance(""TSE:AKU"",""price"")"	"=GoogleFinance(""TSE:AKU"",""change"")"	"=GoogleFinance(""TSE:AKU"",""high52"")"	"=GoogleFinance(""TSE:AKU"",""low52"")"	"=GoogleFinance(""TSE:AKU"",""volume"")"	"=GoogleFinance(""TSE:AKU"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AKU"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Alamos Gold Inc.	AGI	"=GoogleFinance(""TSE:AGI"",""marketcap"")"	"=GoogleFinance(""TSE:AGI"",""price"")"	"=GoogleFinance(""TSE:AGI"",""change"")"	"=GoogleFinance(""TSE:AGI"",""high52"")"	"=GoogleFinance(""TSE:AGI"",""low52"")"	"=GoogleFinance(""TSE:AGI"",""volume"")"	"=GoogleFinance(""TSE:AGI"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AGI"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Alcanna Inc.	CLIQ	"=GoogleFinance(""TSE:CLIQ"",""marketcap"")"	"=GoogleFinance(""TSE:CLIQ"",""price"")"	"=GoogleFinance(""TSE:CLIQ"",""change"")"	"=GoogleFinance(""TSE:CLIQ"",""high52"")"	"=GoogleFinance(""TSE:CLIQ"",""low52"")"	"=GoogleFinance(""TSE:CLIQ"",""volume"")"	"=GoogleFinance(""TSE:CLIQ"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:CLIQ"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Aleafia Health Inc.	AH	"=GoogleFinance(""TSE:AH"",""marketcap"")"	"=GoogleFinance(""TSE:AH"",""price"")"	"=GoogleFinance(""TSE:AH"",""change"")"	"=GoogleFinance(""TSE:AH"",""high52"")"	"=GoogleFinance(""TSE:AH"",""low52"")"	"=GoogleFinance(""TSE:AH"",""volume"")"	"=GoogleFinance(""TSE:AH"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AH"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Alexco Resource Corp.	AXU	"=GoogleFinance(""TSE:AXU"",""marketcap"")"	"=GoogleFinance(""TSE:AXU"",""price"")"	"=GoogleFinance(""TSE:AXU"",""change"")"	"=GoogleFinance(""TSE:AXU"",""high52"")"	"=GoogleFinance(""TSE:AXU"",""low52"")"	"=GoogleFinance(""TSE:AXU"",""volume"")"	"=GoogleFinance(""TSE:AXU"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AXU"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Algoma Central Corporation	ALC	"=GoogleFinance(""TSE:ALC"",""marketcap"")"	"=GoogleFinance(""TSE:ALC"",""price"")"	"=GoogleFinance(""TSE:ALC"",""change"")"	"=GoogleFinance(""TSE:ALC"",""high52"")"	"=GoogleFinance(""TSE:ALC"",""low52"")"	"=GoogleFinance(""TSE:ALC"",""volume"")"	"=GoogleFinance(""TSE:ALC"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:ALC"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Algonquin Power & Utilities Corp.	AQN	"=GoogleFinance(""TSE:AQN"",""marketcap"")"	"=GoogleFinance(""TSE:AQN"",""price"")"	"=GoogleFinance(""TSE:AQN"",""change"")"	"=GoogleFinance(""TSE:AQN"",""high52"")"	"=GoogleFinance(""TSE:AQN"",""low52"")"	"=GoogleFinance(""TSE:AQN"",""volume"")"	"=GoogleFinance(""TSE:AQN"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AQN"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Alithya Group inc.	ALYA	"=GoogleFinance(""TSE:ALYA"",""marketcap"")"	"=GoogleFinance(""TSE:ALYA"",""price"")"	"=GoogleFinance(""TSE:ALYA"",""change"")"	"=GoogleFinance(""TSE:ALYA"",""high52"")"	"=GoogleFinance(""TSE:ALYA"",""low52"")"	"=GoogleFinance(""TSE:ALYA"",""volume"")"	"=GoogleFinance(""TSE:ALYA"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:ALYA"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Allbanc Split Corp. II	ALB	"=GoogleFinance(""TSE:ALB"",""marketcap"")"	"=GoogleFinance(""TSE:ALB"",""price"")"	"=GoogleFinance(""TSE:ALB"",""change"")"	"=GoogleFinance(""TSE:ALB"",""high52"")"	"=GoogleFinance(""TSE:ALB"",""low52"")"	"=GoogleFinance(""TSE:ALB"",""volume"")"	"=GoogleFinance(""TSE:ALB"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:ALB"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Almaden Minerals Ltd.	AMM	"=GoogleFinance(""TSE:AMM"",""marketcap"")"	"=GoogleFinance(""TSE:AMM"",""price"")"	"=GoogleFinance(""TSE:AMM"",""change"")"	"=GoogleFinance(""TSE:AMM"",""high52"")"	"=GoogleFinance(""TSE:AMM"",""low52"")"	"=GoogleFinance(""TSE:AMM"",""volume"")"	"=GoogleFinance(""TSE:AMM"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AMM"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Almonty Industries Inc.	AII	"=GoogleFinance(""TSE:AII"",""marketcap"")"	"=GoogleFinance(""TSE:AII"",""price"")"	"=GoogleFinance(""TSE:AII"",""change"")"	"=GoogleFinance(""TSE:AII"",""high52"")"	"=GoogleFinance(""TSE:AII"",""low52"")"	"=GoogleFinance(""TSE:AII"",""volume"")"	"=GoogleFinance(""TSE:AII"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AII"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
AltaGas Ltd.	ALA	"=GoogleFinance(""TSE:ALA"",""marketcap"")"	"=GoogleFinance(""TSE:ALA"",""price"")"	"=GoogleFinance(""TSE:ALA"",""change"")"	"=GoogleFinance(""TSE:ALA"",""high52"")"	"=GoogleFinance(""TSE:ALA"",""low52"")"	"=GoogleFinance(""TSE:ALA"",""volume"")"	"=GoogleFinance(""TSE:ALA"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:ALA"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Altius Minerals Corporation	ALS	"=GoogleFinance(""TSE:ALS"",""marketcap"")"	"=GoogleFinance(""TSE:ALS"",""price"")"	"=GoogleFinance(""TSE:ALS"",""change"")"	"=GoogleFinance(""TSE:ALS"",""high52"")"	"=GoogleFinance(""TSE:ALS"",""low52"")"	"=GoogleFinance(""TSE:ALS"",""volume"")"	"=GoogleFinance(""TSE:ALS"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:ALS"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Amerigo Resources Ltd.	ARG	"=GoogleFinance(""TSE:ARG"",""marketcap"")"	"=GoogleFinance(""TSE:ARG"",""price"")"	"=GoogleFinance(""TSE:ARG"",""change"")"	"=GoogleFinance(""TSE:ARG"",""high52"")"	"=GoogleFinance(""TSE:ARG"",""low52"")"	"=GoogleFinance(""TSE:ARG"",""volume"")"	"=GoogleFinance(""TSE:ARG"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:ARG"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Anaconda Mining Inc.	ANX	"=GoogleFinance(""TSE:ANX"",""marketcap"")"	"=GoogleFinance(""TSE:ANX"",""price"")"	"=GoogleFinance(""TSE:ANX"",""change"")"	"=GoogleFinance(""TSE:ANX"",""high52"")"	"=GoogleFinance(""TSE:ANX"",""low52"")"	"=GoogleFinance(""TSE:ANX"",""volume"")"	"=GoogleFinance(""TSE:ANX"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:ANX"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Andlauer Healthcare Group Inc.	AND	"=GoogleFinance(""TSE:AND"",""marketcap"")"	"=GoogleFinance(""TSE:AND"",""price"")"	"=GoogleFinance(""TSE:AND"",""change"")"	"=GoogleFinance(""TSE:AND"",""high52"")"	"=GoogleFinance(""TSE:AND"",""low52"")"	"=GoogleFinance(""TSE:AND"",""volume"")"	"=GoogleFinance(""TSE:AND"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AND"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Antibe Therapeutics Inc.	ATE	"=GoogleFinance(""TSE:ATE"",""marketcap"")"	"=GoogleFinance(""TSE:ATE"",""price"")"	"=GoogleFinance(""TSE:ATE"",""change"")"	"=GoogleFinance(""TSE:ATE"",""high52"")"	"=GoogleFinance(""TSE:ATE"",""low52"")"	"=GoogleFinance(""TSE:ATE"",""volume"")"	"=GoogleFinance(""TSE:ATE"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:ATE"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Aphria Inc.	APHA	"=GoogleFinance(""TSE:APHA"",""marketcap"")"	"=GoogleFinance(""TSE:APHA"",""price"")"	"=GoogleFinance(""TSE:APHA"",""change"")"	"=GoogleFinance(""TSE:APHA"",""high52"")"	"=GoogleFinance(""TSE:APHA"",""low52"")"	"=GoogleFinance(""TSE:APHA"",""volume"")"	"=GoogleFinance(""TSE:APHA"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:APHA"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Apollo Healthcare Corp.	AHC	"=GoogleFinance(""TSE:AHC"",""marketcap"")"	"=GoogleFinance(""TSE:AHC"",""price"")"	"=GoogleFinance(""TSE:AHC"",""change"")"	"=GoogleFinance(""TSE:AHC"",""high52"")"	"=GoogleFinance(""TSE:AHC"",""low52"")"	"=GoogleFinance(""TSE:AHC"",""volume"")"	"=GoogleFinance(""TSE:AHC"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AHC"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Appili Therapeutics Inc.	APLI	"=GoogleFinance(""TSE:APLI"",""marketcap"")"	"=GoogleFinance(""TSE:APLI"",""price"")"	"=GoogleFinance(""TSE:APLI"",""change"")"	"=GoogleFinance(""TSE:APLI"",""high52"")"	"=GoogleFinance(""TSE:APLI"",""low52"")"	"=GoogleFinance(""TSE:APLI"",""volume"")"	"=GoogleFinance(""TSE:APLI"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:APLI"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Aptose Biosciences Inc.	APS	"=GoogleFinance(""TSE:APS"",""marketcap"")"	"=GoogleFinance(""TSE:APS"",""price"")"	"=GoogleFinance(""TSE:APS"",""change"")"	"=GoogleFinance(""TSE:APS"",""high52"")"	"=GoogleFinance(""TSE:APS"",""low52"")"	"=GoogleFinance(""TSE:APS"",""volume"")"	"=GoogleFinance(""TSE:APS"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:APS"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Aquila Resources Inc.	AQA	"=GoogleFinance(""TSE:AQA"",""marketcap"")"	"=GoogleFinance(""TSE:AQA"",""price"")"	"=GoogleFinance(""TSE:AQA"",""change"")"	"=GoogleFinance(""TSE:AQA"",""high52"")"	"=GoogleFinance(""TSE:AQA"",""low52"")"	"=GoogleFinance(""TSE:AQA"",""volume"")"	"=GoogleFinance(""TSE:AQA"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AQA"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
ARC Resources Ltd.	ARX	"=GoogleFinance(""TSE:ARX"",""marketcap"")"	"=GoogleFinance(""TSE:ARX"",""price"")"	"=GoogleFinance(""TSE:ARX"",""change"")"	"=GoogleFinance(""TSE:ARX"",""high52"")"	"=GoogleFinance(""TSE:ARX"",""low52"")"	"=GoogleFinance(""TSE:ARX"",""volume"")"	"=GoogleFinance(""TSE:ARX"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:ARX"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Argonaut Gold Inc.	AR	"=GoogleFinance(""TSE:AR"",""marketcap"")"	"=GoogleFinance(""TSE:AR"",""price"")"	"=GoogleFinance(""TSE:AR"",""change"")"	"=GoogleFinance(""TSE:AR"",""high52"")"	"=GoogleFinance(""TSE:AR"",""low52"")"	"=GoogleFinance(""TSE:AR"",""volume"")"	"=GoogleFinance(""TSE:AR"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AR"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Aritzia Inc.	ATZ	"=GoogleFinance(""TSE:ATZ"",""marketcap"")"	"=GoogleFinance(""TSE:ATZ"",""price"")"	"=GoogleFinance(""TSE:ATZ"",""change"")"	"=GoogleFinance(""TSE:ATZ"",""high52"")"	"=GoogleFinance(""TSE:ATZ"",""low52"")"	"=GoogleFinance(""TSE:ATZ"",""volume"")"	"=GoogleFinance(""TSE:ATZ"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:ATZ"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Ascendant Resources Inc.	ASND	"=GoogleFinance(""TSE:ASND"",""marketcap"")"	"=GoogleFinance(""TSE:ASND"",""price"")"	"=GoogleFinance(""TSE:ASND"",""change"")"	"=GoogleFinance(""TSE:ASND"",""high52"")"	"=GoogleFinance(""TSE:ASND"",""low52"")"	"=GoogleFinance(""TSE:ASND"",""volume"")"	"=GoogleFinance(""TSE:ASND"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:ASND"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Ascot Resources Ltd.	AOT	"=GoogleFinance(""TSE:AOT"",""marketcap"")"	"=GoogleFinance(""TSE:AOT"",""price"")"	"=GoogleFinance(""TSE:AOT"",""change"")"	"=GoogleFinance(""TSE:AOT"",""high52"")"	"=GoogleFinance(""TSE:AOT"",""low52"")"	"=GoogleFinance(""TSE:AOT"",""volume"")"	"=GoogleFinance(""TSE:AOT"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AOT"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Atlantic Power Corporation	ATP	"=GoogleFinance(""TSE:ATP"",""marketcap"")"	"=GoogleFinance(""TSE:ATP"",""price"")"	"=GoogleFinance(""TSE:ATP"",""change"")"	"=GoogleFinance(""TSE:ATP"",""high52"")"	"=GoogleFinance(""TSE:ATP"",""low52"")"	"=GoogleFinance(""TSE:ATP"",""volume"")"	"=GoogleFinance(""TSE:ATP"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:ATP"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Atrium Mortgage Investment Corporation	AI	"=GoogleFinance(""TSE:AI"",""marketcap"")"	"=GoogleFinance(""TSE:AI"",""price"")"	"=GoogleFinance(""TSE:AI"",""change"")"	"=GoogleFinance(""TSE:AI"",""high52"")"	"=GoogleFinance(""TSE:AI"",""low52"")"	"=GoogleFinance(""TSE:AI"",""volume"")"	"=GoogleFinance(""TSE:AI"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AI"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
ATS Automation Tooling Systems Inc.	ATA	"=GoogleFinance(""TSE:ATA"",""marketcap"")"	"=GoogleFinance(""TSE:ATA"",""price"")"	"=GoogleFinance(""TSE:ATA"",""change"")"	"=GoogleFinance(""TSE:ATA"",""high52"")"	"=GoogleFinance(""TSE:ATA"",""low52"")"	"=GoogleFinance(""TSE:ATA"",""volume"")"	"=GoogleFinance(""TSE:ATA"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:ATA"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Aura Minerals Inc.	ORA	"=GoogleFinance(""TSE:ORA"",""marketcap"")"	"=GoogleFinance(""TSE:ORA"",""price"")"	"=GoogleFinance(""TSE:ORA"",""change"")"	"=GoogleFinance(""TSE:ORA"",""high52"")"	"=GoogleFinance(""TSE:ORA"",""low52"")"	"=GoogleFinance(""TSE:ORA"",""volume"")"	"=GoogleFinance(""TSE:ORA"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:ORA"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Aurinia Pharmaceuticals Inc.	AUP	"=GoogleFinance(""TSE:AUP"",""marketcap"")"	"=GoogleFinance(""TSE:AUP"",""price"")"	"=GoogleFinance(""TSE:AUP"",""change"")"	"=GoogleFinance(""TSE:AUP"",""high52"")"	"=GoogleFinance(""TSE:AUP"",""low52"")"	"=GoogleFinance(""TSE:AUP"",""volume"")"	"=GoogleFinance(""TSE:AUP"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AUP"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Aurora Cannabis Inc.	ACB	"=GoogleFinance(""TSE:ACB"",""marketcap"")"	"=GoogleFinance(""TSE:ACB"",""price"")"	"=GoogleFinance(""TSE:ACB"",""change"")"	"=GoogleFinance(""TSE:ACB"",""high52"")"	"=GoogleFinance(""TSE:ACB"",""low52"")"	"=GoogleFinance(""TSE:ACB"",""volume"")"	"=GoogleFinance(""TSE:ACB"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:ACB"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
AutoCanada Inc.	ACQ	"=GoogleFinance(""TSE:ACQ"",""marketcap"")"	"=GoogleFinance(""TSE:ACQ"",""price"")"	"=GoogleFinance(""TSE:ACQ"",""change"")"	"=GoogleFinance(""TSE:ACQ"",""high52"")"	"=GoogleFinance(""TSE:ACQ"",""low52"")"	"=GoogleFinance(""TSE:ACQ"",""volume"")"	"=GoogleFinance(""TSE:ACQ"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:ACQ"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Avalon Advanced Materials Inc.	AVL	"=GoogleFinance(""TSE:AVL"",""marketcap"")"	"=GoogleFinance(""TSE:AVL"",""price"")"	"=GoogleFinance(""TSE:AVL"",""change"")"	"=GoogleFinance(""TSE:AVL"",""high52"")"	"=GoogleFinance(""TSE:AVL"",""low52"")"	"=GoogleFinance(""TSE:AVL"",""volume"")"	"=GoogleFinance(""TSE:AVL"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AVL"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Avcorp Industries Inc.	AVP	"=GoogleFinance(""TSE:AVP"",""marketcap"")"	"=GoogleFinance(""TSE:AVP"",""price"")"	"=GoogleFinance(""TSE:AVP"",""change"")"	"=GoogleFinance(""TSE:AVP"",""high52"")"	"=GoogleFinance(""TSE:AVP"",""low52"")"	"=GoogleFinance(""TSE:AVP"",""volume"")"	"=GoogleFinance(""TSE:AVP"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AVP"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Avicanna Inc.	AVCN	"=GoogleFinance(""TSE:AVCN"",""marketcap"")"	"=GoogleFinance(""TSE:AVCN"",""price"")"	"=GoogleFinance(""TSE:AVCN"",""change"")"	"=GoogleFinance(""TSE:AVCN"",""high52"")"	"=GoogleFinance(""TSE:AVCN"",""low52"")"	"=GoogleFinance(""TSE:AVCN"",""volume"")"	"=GoogleFinance(""TSE:AVCN"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:AVCN"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Avino Silver & Gold Mines Ltd.	ASM	"=GoogleFinance(""TSE:ASM"",""marketcap"")"	"=GoogleFinance(""TSE:ASM"",""price"")"	"=GoogleFinance(""TSE:ASM"",""change"")"	"=GoogleFinance(""TSE:ASM"",""high52"")"	"=GoogleFinance(""TSE:ASM"",""low52"")"	"=GoogleFinance(""TSE:ASM"",""volume"")"	"=GoogleFinance(""TSE:ASM"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:ASM"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
