name	symbol	marketcap	price	change	high52	low52	volume	volumeavg	Start of Year
Emera Incorporated	EMA	"=GoogleFinance(""TSE:EMA"",""marketcap"")"	"=GoogleFinance(""TSE:EMA"",""price"")"	"=GoogleFinance(""TSE:EMA"",""change"")"	"=GoogleFinance(""TSE:EMA"",""high52"")"	"=GoogleFinance(""TSE:EMA"",""low52"")"	"=GoogleFinance(""TSE:EMA"",""volume"")"	"=GoogleFinance(""TSE:EMA"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:EMA"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Enbridge Inc.	ENB	"=GoogleFinance(""TSE:ENB"",""marketcap"")"	"=GoogleFinance(""TSE:ENB"",""price"")"	"=GoogleFinance(""TSE:ENB"",""change"")"	"=GoogleFinance(""TSE:ENB"",""high52"")"	"=GoogleFinance(""TSE:ENB"",""low52"")"	"=GoogleFinance(""TSE:ENB"",""volume"")"	"=GoogleFinance(""TSE:ENB"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:ENB"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Endeavour Silver Corp.	EDR	"=GoogleFinance(""TSE:EDR"",""marketcap"")"	"=GoogleFinance(""TSE:EDR"",""price"")"	"=GoogleFinance(""TSE:EDR"",""change"")"	"=GoogleFinance(""TSE:EDR"",""high52"")"	"=GoogleFinance(""TSE:EDR"",""low52"")"	"=GoogleFinance(""TSE:EDR"",""volume"")"	"=GoogleFinance(""TSE:EDR"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:EDR"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Enerflex Ltd.	EFX	"=GoogleFinance(""TSE:EFX"",""marketcap"")"	"=GoogleFinance(""TSE:EFX"",""price"")"	"=GoogleFinance(""TSE:EFX"",""change"")"	"=GoogleFinance(""TSE:EFX"",""high52"")"	"=GoogleFinance(""TSE:EFX"",""low52"")"	"=GoogleFinance(""TSE:EFX"",""volume"")"	"=GoogleFinance(""TSE:EFX"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:EFX"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Energy Fuels Inc.	EFR	"=GoogleFinance(""TSE:EFR"",""marketcap"")"	"=GoogleFinance(""TSE:EFR"",""price"")"	"=GoogleFinance(""TSE:EFR"",""change"")"	"=GoogleFinance(""TSE:EFR"",""high52"")"	"=GoogleFinance(""TSE:EFR"",""low52"")"	"=GoogleFinance(""TSE:EFR"",""volume"")"	"=GoogleFinance(""TSE:EFR"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:EFR"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Ensign Energy Services Inc.	ESI	"=GoogleFinance(""TSE:ESI"",""marketcap"")"	"=GoogleFinance(""TSE:ESI"",""price"")"	"=GoogleFinance(""TSE:ESI"",""change"")"	"=GoogleFinance(""TSE:ESI"",""high52"")"	"=GoogleFinance(""TSE:ESI"",""low52"")"	"=GoogleFinance(""TSE:ESI"",""volume"")"	"=GoogleFinance(""TSE:ESI"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:ESI"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Enterprise Group, Inc.	E	"=GoogleFinance(""TSE:E"",""marketcap"")"	"=GoogleFinance(""TSE:E"",""price"")"	"=GoogleFinance(""TSE:E"",""change"")"	"=GoogleFinance(""TSE:E"",""high52"")"	"=GoogleFinance(""TSE:E"",""low52"")"	"=GoogleFinance(""TSE:E"",""volume"")"	"=GoogleFinance(""TSE:E"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:E"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Enthusiast Gaming Holdings Inc.	EGLX	"=GoogleFinance(""TSE:EGLX"",""marketcap"")"	"=GoogleFinance(""TSE:EGLX"",""price"")"	"=GoogleFinance(""TSE:EGLX"",""change"")"	"=GoogleFinance(""TSE:EGLX"",""high52"")"	"=GoogleFinance(""TSE:EGLX"",""low52"")"	"=GoogleFinance(""TSE:EGLX"",""volume"")"	"=GoogleFinance(""TSE:EGLX"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:EGLX"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Entree Resources Ltd.	ETG	"=GoogleFinance(""TSE:ETG"",""marketcap"")"	"=GoogleFinance(""TSE:ETG"",""price"")"	"=GoogleFinance(""TSE:ETG"",""change"")"	"=GoogleFinance(""TSE:ETG"",""high52"")"	"=GoogleFinance(""TSE:ETG"",""low52"")"	"=GoogleFinance(""TSE:ETG"",""volume"")"	"=GoogleFinance(""TSE:ETG"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:ETG"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Equinox Gold Corp.	EQX	"=GoogleFinance(""TSE:EQX"",""marketcap"")"	"=GoogleFinance(""TSE:EQX"",""price"")"	"=GoogleFinance(""TSE:EQX"",""change"")"	"=GoogleFinance(""TSE:EQX"",""high52"")"	"=GoogleFinance(""TSE:EQX"",""low52"")"	"=GoogleFinance(""TSE:EQX"",""volume"")"	"=GoogleFinance(""TSE:EQX"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:EQX"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Equitable Group Inc.	EQB	"=GoogleFinance(""TSE:EQB"",""marketcap"")"	"=GoogleFinance(""TSE:EQB"",""price"")"	"=GoogleFinance(""TSE:EQB"",""change"")"	"=GoogleFinance(""TSE:EQB"",""high52"")"	"=GoogleFinance(""TSE:EQB"",""low52"")"	"=GoogleFinance(""TSE:EQB"",""volume"")"	"=GoogleFinance(""TSE:EQB"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:EQB"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Ero Copper Corp.	ERO	"=GoogleFinance(""TSE:ERO"",""marketcap"")"	"=GoogleFinance(""TSE:ERO"",""price"")"	"=GoogleFinance(""TSE:ERO"",""change"")"	"=GoogleFinance(""TSE:ERO"",""high52"")"	"=GoogleFinance(""TSE:ERO"",""low52"")"	"=GoogleFinance(""TSE:ERO"",""volume"")"	"=GoogleFinance(""TSE:ERO"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:ERO"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Essential Energy Services Ltd.	ESN	"=GoogleFinance(""TSE:ESN"",""marketcap"")"	"=GoogleFinance(""TSE:ESN"",""price"")"	"=GoogleFinance(""TSE:ESN"",""change"")"	"=GoogleFinance(""TSE:ESN"",""high52"")"	"=GoogleFinance(""TSE:ESN"",""low52"")"	"=GoogleFinance(""TSE:ESN"",""volume"")"	"=GoogleFinance(""TSE:ESN"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:ESN"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Euro Sun Mining Inc.	ESM	"=GoogleFinance(""TSE:ESM"",""marketcap"")"	"=GoogleFinance(""TSE:ESM"",""price"")"	"=GoogleFinance(""TSE:ESM"",""change"")"	"=GoogleFinance(""TSE:ESM"",""high52"")"	"=GoogleFinance(""TSE:ESM"",""low52"")"	"=GoogleFinance(""TSE:ESM"",""volume"")"	"=GoogleFinance(""TSE:ESM"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:ESM"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Euromax Resources Ltd.	EOX	"=GoogleFinance(""TSE:EOX"",""marketcap"")"	"=GoogleFinance(""TSE:EOX"",""price"")"	"=GoogleFinance(""TSE:EOX"",""change"")"	"=GoogleFinance(""TSE:EOX"",""high52"")"	"=GoogleFinance(""TSE:EOX"",""low52"")"	"=GoogleFinance(""TSE:EOX"",""volume"")"	"=GoogleFinance(""TSE:EOX"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:EOX"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Evolve Automobile Innovation Index Fund	CARS	"=GoogleFinance(""TSE:CARS"",""marketcap"")"	"=GoogleFinance(""TSE:CARS"",""price"")"	"=GoogleFinance(""TSE:CARS"",""change"")"	"=GoogleFinance(""TSE:CARS"",""high52"")"	"=GoogleFinance(""TSE:CARS"",""low52"")"	"=GoogleFinance(""TSE:CARS"",""volume"")"	"=GoogleFinance(""TSE:CARS"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:CARS"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Evolve Cyber Security Index Fund	CYBR	"=GoogleFinance(""TSE:CYBR"",""marketcap"")"	"=GoogleFinance(""TSE:CYBR"",""price"")"	"=GoogleFinance(""TSE:CYBR"",""change"")"	"=GoogleFinance(""TSE:CYBR"",""high52"")"	"=GoogleFinance(""TSE:CYBR"",""low52"")"	"=GoogleFinance(""TSE:CYBR"",""volume"")"	"=GoogleFinance(""TSE:CYBR"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:CYBR"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Evolve Future Leadership Fund	LEAD	"=GoogleFinance(""TSE:LEAD"",""marketcap"")"	"=GoogleFinance(""TSE:LEAD"",""price"")"	"=GoogleFinance(""TSE:LEAD"",""change"")"	"=GoogleFinance(""TSE:LEAD"",""high52"")"	"=GoogleFinance(""TSE:LEAD"",""low52"")"	"=GoogleFinance(""TSE:LEAD"",""volume"")"	"=GoogleFinance(""TSE:LEAD"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:LEAD"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Evolve Global Healthcare Enhanced Yield Fund	LIFE	"=GoogleFinance(""TSE:LIFE"",""marketcap"")"	"=GoogleFinance(""TSE:LIFE"",""price"")"	"=GoogleFinance(""TSE:LIFE"",""change"")"	"=GoogleFinance(""TSE:LIFE"",""high52"")"	"=GoogleFinance(""TSE:LIFE"",""low52"")"	"=GoogleFinance(""TSE:LIFE"",""volume"")"	"=GoogleFinance(""TSE:LIFE"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:LIFE"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Evolve Global Materials & Mining Enhanced Yield Index ETF	BASE	"=GoogleFinance(""TSE:BASE"",""marketcap"")"	"=GoogleFinance(""TSE:BASE"",""price"")"	"=GoogleFinance(""TSE:BASE"",""change"")"	"=GoogleFinance(""TSE:BASE"",""high52"")"	"=GoogleFinance(""TSE:BASE"",""low52"")"	"=GoogleFinance(""TSE:BASE"",""volume"")"	"=GoogleFinance(""TSE:BASE"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:BASE"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Evolve US Banks Enhanced Yield Fund	CALL	"=GoogleFinance(""TSE:CALL"",""marketcap"")"	"=GoogleFinance(""TSE:CALL"",""price"")"	"=GoogleFinance(""TSE:CALL"",""change"")"	"=GoogleFinance(""TSE:CALL"",""high52"")"	"=GoogleFinance(""TSE:CALL"",""low52"")"	"=GoogleFinance(""TSE:CALL"",""volume"")"	"=GoogleFinance(""TSE:CALL"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:CALL"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
exactEarth Ltd.	XCT	"=GoogleFinance(""TSE:XCT"",""marketcap"")"	"=GoogleFinance(""TSE:XCT"",""price"")"	"=GoogleFinance(""TSE:XCT"",""change"")"	"=GoogleFinance(""TSE:XCT"",""high52"")"	"=GoogleFinance(""TSE:XCT"",""low52"")"	"=GoogleFinance(""TSE:XCT"",""volume"")"	"=GoogleFinance(""TSE:XCT"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:XCT"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
